Protein,INT_M.1,INT_M.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
Q8BFR5,18.15117876,18.30233466,16.40514146,16.88613935,0.099960965,1.581116301,1.581116301,0.099960965,0.988262249
Q8BFW7,15.77097348,15.73458305,16.48230034,16.05093272,0.44918176,-0.513838261,-0.513838261,0.44918176,0.997566344
Q8BFZ9,16.16210491,16.38744633,16.16126444,16.09392948,0.701984669,0.147178656,0.147178656,0.701984669,0.997566344
Q8BG32,17.2157984,17.27202829,17.36161828,16.83553234,0.738199716,0.145338038,0.145338038,0.738199716,0.997566344
Q8BGC0,14.50708757,13.91808995,13.64056795,13.31411541,0.148506878,0.735247078,0.735247078,0.148506878,0.988262249
Q8BGC4,16.40060584,16.55900356,14.89921306,14.98197284,0.091623952,1.53921175,1.53921175,0.091623952,0.988262249
Q8BGD9,17.44803546,17.54021154,16.88611952,16.54388955,0.190122189,0.779118963,0.779118963,0.190122189,0.988262249
Q8BGH2,16.07407873,16.80372753,15.50422933,15.21969794,0.212570645,1.076939495,1.076939495,0.212570645,0.988262249
Q8BGM4,10.80976813,11.46704507,11.78549334,10.94317412,0.723589948,-0.22592713,-0.22592713,0.723589948,0.997566344
Q8BGQ1,14.80609644,14.83160415,14.33175671,14.02825143,0.408057395,0.638846224,0.638846224,0.408057395,0.997566344
Q8BGX2,15.26510222,15.33918889,14.39620338,14.32030697,0.075056573,0.94389038,0.94389038,0.075056573,0.988262249
Q8BH04,13.91447857,14.42469119,13.86341196,14.35059393,0.909142164,0.062581934,0.062581934,0.909142164,0.997566344
Q8BH43,14.89590657,15.06191961,15.03638828,14.90261064,0.981286004,0.009413627,0.009413627,0.981286004,0.997566344
Q8BH47,10.14312807,10.75330033,11.18481337,9.871751,0.396167368,-0.736599167,-0.736599167,0.396167368,0.997566344
Q8BH53,11.82209277,13.1382878,11.47045552,11.87302109,0.191909929,0.808451985,0.808451985,0.191909929,0.988262249
Q8BH58,15.62247931,15.70044748,15.24838499,15.2631695,0.42669288,0.405686152,0.405686152,0.42669288,0.997566344
Q8BH59,12.8663032,13.27972359,13.03141043,14.09728838,0.527573144,-0.491336004,-0.491336004,0.527573144,0.997566344
Q8BH61,16.16649657,16.21723829,17.49232265,17.1711377,0.169276858,-1.139862743,-1.139862743,0.169276858,0.988262249
Q8BH64,15.7105719,16.2351255,16.55719359,16.62464007,0.432588424,-0.618068133,-0.618068133,0.432588424,0.997566344
Q8BH95,14.99037898,15.75424257,14.63527077,13.87628624,0.271923273,1.116532271,1.116532271,0.271923273,0.996315489
Q8BHD7,16.72786729,16.82339212,17.20600319,16.94854975,0.696759912,-0.301646766,-0.301646766,0.696759912,0.997566344
Q8BHZ0,13.58237724,14.02280125,13.5574637,13.53442448,0.692079615,0.256645152,0.256645152,0.692079615,0.997566344
Q8BI72,13.27920429,13.49922304,12.74070836,12.71855428,0.392730296,0.659582348,0.659582348,0.392730296,0.997566344
Q8BI79,13.02004237,13.77982193,12.34399069,13.41005379,0.365092008,0.522909912,0.522909912,0.365092008,0.997566344
Q8BIJ7,15.31365124,15.38639045,15.48050295,15.19464783,0.977213408,0.01244546,0.01244546,0.977213408,0.997566344
Q8BIK4,15.07777395,15.36124761,16.01293941,15.50197418,0.440795979,-0.53794601,-0.53794601,0.440795979,0.997566344
Q8BIW1,15.5215391,15.67347472,15.58784276,15.07073754,0.641756953,0.268216759,0.268216759,0.641756953,0.997566344
Q8BJ34,17.84530627,17.64272864,16.22955112,16.13793173,0.142831651,1.560276032,1.560276032,0.142831651,0.988262249
Q8BJ56,17.23796585,17.17096748,16.82181601,16.49649132,0.336654106,0.545313,0.545313,0.336654106,0.997566344
Q8BJW6,16.20458983,16.55432722,16.00827836,15.76980868,0.479019857,0.490415006,0.490415006,0.479019857,0.997566344
Q8BJY1,15.77460692,16.09784696,16.61079417,15.98065282,0.586781646,-0.359496555,-0.359496555,0.586781646,0.997566344
Q8BJZ4,16.4545101,16.10511227,15.06166159,14.99812816,0.064199409,1.249916311,1.249916311,0.064199409,0.988262249
Q8BK08,16.46797165,16.28872191,15.02578842,14.8680991,0.133267214,1.431403024,1.431403024,0.133267214,0.988262249
Q8BK64,15.62997155,15.97960081,15.53949006,15.20143021,0.430284274,0.43432605,0.43432605,0.430284274,0.997566344
Q8BKC8,12.32853469,13.15233238,13.31061278,12.8372337,0.625584754,-0.333489705,-0.333489705,0.625584754,0.997566344
Q8BKI2,16.40321782,16.0782968,15.81467279,15.48589361,0.392878148,0.590474107,0.590474107,0.392878148,0.997566344
Q8BKZ9,16.89480958,16.91173398,15.80674226,15.80405625,0.171628137,1.097872526,1.097872526,0.171628137,0.988262249
Q8BL97,15.57005638,15.79850323,15.71069568,15.68831361,0.978216509,-0.01522484,-0.01522484,0.978216509,0.997566344
Q8BMA6,15.32285423,15.33544326,15.31487859,15.24550705,0.929117866,0.048955925,0.048955925,0.929117866,0.997566344
Q8BMF4,14.55164819,14.89994243,14.19984123,13.82693936,0.388625005,0.712405014,0.712405014,0.388625005,0.997566344
Q8BMG7,15.54188965,15.56388384,15.81918685,15.47015656,0.867098135,-0.091784962,-0.091784962,0.867098135,0.997566344
Q8BMJ2,14.92151796,14.86982747,14.47422942,14.86965801,0.646420037,0.223728995,0.223728995,0.646420037,0.997566344
Q8BMK4,15.63131918,15.14613109,15.33256109,15.36136126,0.930391568,0.041763958,0.041763958,0.930391568,0.997566344
Q8BML9,15.47815879,15.77234288,15.44281973,15.52140293,0.774108677,0.143139504,0.143139504,0.774108677,0.997566344
Q8BMS1,17.89489141,17.87413095,15.86722319,15.8042232,0.07988977,2.048787983,2.048787983,0.07988977,0.988262249
Q8BMS4,16.62684976,16.46354034,14.35142239,14.72398084,0.060502074,2.007493433,2.007493433,0.060502074,0.988262249
Q8BMS9,14.95708594,14.73281594,15.58566593,15.83422982,0.224475712,-0.864996936,-0.864996936,0.224475712,0.988262249
Q8BNA6,13.28944258,13.4020794,14.95142133,13.46135154,0.250997766,-0.860625445,-0.860625445,0.250997766,0.990420869
Q8BNI4,12.59371791,13.03849037,13.09406119,12.74989037,0.898847735,-0.10587164,-0.10587164,0.898847735,0.997566344
Q8BP47,14.64570183,14.99940141,14.87064106,14.491747,0.819301762,0.141357593,0.141357593,0.819301762,0.997566344
Q8BP67,14.1027959,14.58137714,13.74472874,14.33462246,0.653444509,0.302410917,0.302410917,0.653444509,0.997566344
Q8BP67;F6RSK3,17.4166656,16.37478479,16.56164595,17.30144261,0.945460935,-0.035819082,-0.035819082,0.945460935,0.997566344
Q8BQ46,16.44020889,16.13420918,15.68977097,14.97442443,0.128081885,0.955111333,0.955111333,0.128081885,0.988262249
Q8BQZ4,14.40182694,14.34523403,14.44272907,13.96292686,0.72548714,0.170702518,0.170702518,0.72548714,0.997566344
Q8BR90,14.22314427,14.50114557,14.22346866,13.63955282,0.524272898,0.43063418,0.43063418,0.524272898,0.997566344
Q8BR92,15.85579586,15.45199776,14.64640587,14.4762742,0.142871523,1.092556775,1.092556775,0.142871523,0.988262249
Q8BRF7,15.56106602,15.35556429,15.49237057,15.41044003,0.991703895,0.006909856,0.006909856,0.991703895,0.997566344
Q8BRK8,15.06532654,15.1386315,14.43609444,14.24386258,0.299039103,0.762000503,0.762000503,0.299039103,0.997566344
Q8BSF4;F6TVX7,14.2948361,15.23204611,13.60026139,15.1548972,0.762885134,0.385861813,0.385861813,0.762885134,0.997566344
Q8BTI9,13.33218918,13.48791932,14.33567063,14.40968275,0.139573925,-0.962622438,-0.962622438,0.139573925,0.988262249
Q8BTM8,14.99903811,15.30313858,16.71444838,16.58033066,0.028550332,-1.496301167,-1.496301167,0.028550332,0.988262249
Q8BTV2,14.52778223,14.29428797,14.28557569,14.07723984,0.680812414,0.229627334,0.229627334,0.680812414,0.997566344
Q8BTY8,16.40925833,16.12547401,16.52740064,15.82744195,0.893623509,0.089944874,0.089944874,0.893623509,0.997566344
Q8BTZ4,16.08478808,16.20411508,16.09695176,16.4090144,0.854781712,-0.108531502,-0.108531502,0.854781712,0.997566344
Q8BU30,16.01577103,16.24276475,16.04488501,16.12543028,0.933975568,0.044110245,0.044110245,0.933975568,0.997566344
Q8BUE4,16.13864513,16.42810407,16.0364218,15.99079859,0.708462857,0.269764409,0.269764409,0.708462857,0.997566344
Q8BUK6,13.83969589,13.77519873,13.64385619,13.70098149,0.815532096,0.135028468,0.135028468,0.815532096,0.997566344
Q8BUV3,14.9225844,14.88948336,15.01900659,14.88351919,0.926711597,-0.045229006,-0.045229006,0.926711597,0.997566344
Q8BVA5,15.07581338,15.63217164,15.08895383,14.46887855,0.40721952,0.575076316,0.575076316,0.40721952,0.997566344
Q8BVE3,14.45159299,14.71754936,14.85540549,15.14478991,0.619547671,-0.415526528,-0.415526528,0.619547671,0.997566344
Q8BVK9,19.8661832,19.17682082,18.92697349,16.78212799,0.229969334,1.66695127,1.66695127,0.229969334,0.988262249
Q8BVQ5,11.9315501,13.13331885,13.10048166,12.96002004,0.490256237,-0.497816376,-0.497816376,0.490256237,0.997566344
Q8BVU0,14.86819558,15.51221577,15.2387779,15.15465991,0.992571678,-0.006513231,-0.006513231,0.992571678,0.997566344
Q8BW75,13.73814812,13.91179328,13.19074029,12.86842042,0.242299643,0.795390346,0.795390346,0.242299643,0.988262249
Q8BWJ3,16.43771731,16.80031247,16.52964223,16.86560064,0.889563995,-0.078606544,-0.078606544,0.889563995,0.997566344
Q8BWT1,18.19996071,18.55190187,15.52115642,15.53969425,0.056373159,2.845505955,2.845505955,0.056373159,0.988262249
Q8BWW4,14.77298462,14.36468186,13.66766598,13.948641,0.257057943,0.760679753,0.760679753,0.257057943,0.995139818
Q8BX02,15.39164637,15.38514505,15.74339915,15.61004437,0.598859734,-0.28832605,-0.28832605,0.598859734,0.997566344
Q8BX02;E9Q238,14.23959853,15.11569395,15.3392585,15.36454508,0.389799668,-0.674255546,-0.674255546,0.389799668,0.997566344
Q8BX02;Q6P9J5,16.72879742,16.4690217,16.9924737,16.85623098,0.341986554,-0.325442784,-0.325442784,0.341986554,0.997566344
Q8BX70,16.14663903,16.05339071,15.68470381,15.48592489,0.441121284,0.514700518,0.514700518,0.441121284,0.997566344
Q8BY87,15.3620808,16.10006684,15.51757713,15.24662928,0.563335032,0.348970621,0.348970621,0.563335032,0.997566344
Q8BYJ6,13.71209705,13.95737415,13.46403515,13.7241434,0.648129795,0.240646325,0.240646325,0.648129795,0.997566344
Q8BYL4,14.88545806,14.59741245,14.1086878,13.82286954,0.139275673,0.775656593,0.775656593,0.139275673,0.988262249
Q8C050,17.25625034,16.66563712,16.49726037,16.21266736,0.383946265,0.605979864,0.605979864,0.383946265,0.997566344
Q8C0C7,16.58196552,16.76506214,16.12003533,16.16764127,0.295498544,0.529675529,0.529675529,0.295498544,0.997566344
Q8C0D5,14.95180257,14.88631863,15.06994835,14.70859985,0.949298332,0.029786498,0.029786498,0.949298332,0.997566344
Q8C0N2,14.80343767,14.94631612,16.25188914,15.7041241,0.162612538,-1.103129724,-1.103129724,0.162612538,0.988262249
Q8C129,13.25991977,13.12368495,13.95283223,13.18824884,0.679430166,-0.378738179,-0.378738179,0.679430166,0.997566344
Q8C1B7,15.82126157,15.52551305,15.1453222,14.86526185,0.380474319,0.668095285,0.668095285,0.380474319,0.997566344
Q8C1E7,13.65262093,14.07003706,14.07756681,14.19583355,0.684396527,-0.275371178,-0.275371178,0.684396527,0.997566344
Q8C2Q3,16.16817449,16.34247262,16.47120853,16.28674138,0.84884552,-0.123651403,-0.123651403,0.84884552,0.997566344
Q8C3F2,15.27310351,15.4621188,15.36064136,14.81838246,0.619279075,0.278099246,0.278099246,0.619279075,0.997566344
