"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031519","GO:0031519","PcG protein complex","1/282","86/31010",0.544669478794427,0.781736271364241,0.648159129105175,"Q80X50",1
"GO:0000786","GO:0000786","nucleosome","1/282","87/31010",0.548821697361882,0.781736271364241,0.648159129105175,"Q8CCK0",1
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex","1/282","87/31010",0.548821697361882,0.781736271364241,0.648159129105175,"P11881",1
"GO:0060170","GO:0060170","ciliary membrane","1/282","87/31010",0.548821697361882,0.781736271364241,0.648159129105175,"Q8K1G2",1
"GO:1903293","GO:1903293","phosphatase complex","1/282","87/31010",0.548821697361882,0.781736271364241,0.648159129105175,"P11881",1
"GO:0005637","GO:0005637","nuclear inner membrane","1/282","88/31010",0.552936184356803,0.783773620544594,0.649848351569058,"P11881",1
"GO:0044309","GO:0044309","neuron spine","4/282","433/31010",0.556403083037891,0.784877778971324,0.650763839810398,"A2A5R2/P23819/Q9QYC0/Q9Z2W8",4
"GO:0031965","GO:0031965","nuclear membrane","4/282","440/31010",0.56906723553291,0.798882849882738,0.66237583083284,"P11881/Q91ZP3/Q9CR88/Q9ER39",4
"GO:0005802","GO:0005802","trans-Golgi network","4/282","444/31010",0.576213750683792,0.802095720586968,0.665039710652497,"A2A5R2/O70305/P14142/Q9JMH9",4
"GO:0097525","GO:0097525","spliceosomal snRNP complex","1/282","94/31010",0.57684966206597,0.802095720586968,0.665039710652497,"Q8K4Z5",1
"GO:0035861","GO:0035861","site of double-strand break","1/282","97/31010",0.588324015971851,0.814173519733558,0.675053747435898,"P97807",1
"GO:0032153","GO:0032153","cell division site","1/282","98/31010",0.592079478964636,0.814820793528838,0.675590420013096,"Q80UG5",1
"GO:0030118","GO:0030118","clathrin coat","1/282","100/31010",0.599488299093196,0.814820793528838,0.675590420013096,"Q9D2N9",1
"GO:0099060","GO:0099060","integral component of postsynaptic specialization membrane","1/282","100/31010",0.599488299093196,0.814820793528838,0.675590420013096,"P23819",1
"GO:0000793","GO:0000793","condensed chromosome","4/282","459/31010",0.602407174121021,0.814820793528838,0.675590420013096,"A2AGT5/Q6PB66/Q9DBR0/Q9QYB5",4
"GO:0016459","GO:0016459","myosin complex","1/282","102/31010",0.606763025710211,0.814820793528838,0.675590420013096,"Q9JMH9",1
"GO:0098948","GO:0098948","intrinsic component of postsynaptic specialization membrane","1/282","102/31010",0.606763025710211,0.814820793528838,0.675590420013096,"P23819",1
"GO:0044815","GO:0044815","DNA packaging complex","1/282","103/31010",0.610350861440433,0.814820793528838,0.675590420013096,"Q8CCK0",1
"GO:0001917","GO:0001917","photoreceptor inner segment","1/282","104/31010",0.613906077316248,0.814820793528838,0.675590420013096,"P52480",1
"GO:0031985","GO:0031985","Golgi cisterna","1/282","104/31010",0.613906077316248,0.814820793528838,0.675590420013096,"P63038",1
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","1/282","106/31010",0.620919828944962,0.820400859963479,0.680217007179525,"Q8K4Z5",1
"GO:0005771","GO:0005771","multivesicular body","1/282","109/31010",0.631203109451512,0.824140069939782,0.683317289423756,"P14142",1
